项目名称,除外内容,编码,计价单位,一级机构价格,id,说明,财务分类,项目内涵
特定计算机治疗计划系统加收(疗程中修改计划),,240100004-1,疗程,380,253,,E,
放射治疗的适时监控,,240100005,次,37.6,254,,E,
计算机正向适形调强治疗计划设计,,240100006S,疗程,2172.8,255,,E,含CT图像的输入、靶区勾画、正常组织勾画、布野、正向计划系统优化、剂量计算、计划输出、计划打印，不含CT扫描、治疗计划的验证、模拟摆位、剂量验证。
计算机适形调强4D治疗计划设计,,240100006S-1,疗程,2584,256,,E,含CT图像的输入、靶区勾画、正常组织勾画、布野、正向或逆向计划系统优化、剂量计算、计划输出、计划打印，不含CT扫描、治疗计划的验证、模拟摆位、剂量验证。
计算机适形调强治疗计划设计加收(疗程中修改计划),,240100006S-2,疗程,1086.4,257,,E,
计算机适形调强4D治疗计划设计加收(疗程中修改计划),,240100006S-3,疗程,1292,258,,E,
照射野验证照片,,240100007S,每照射野,200,259,,D,含照射野验证照片和二维处理过程。
照射野验证照片加收(三维射野验证),,240100007S-1,每照射野,80,260,,D,
实时剂量验证,,240100008S,每照射野,320,261,,E,指以热释光、剂量胶片、半导体或非晶硅、EPID等方式实时监测剂量，和利用治疗加速器进行探测器校准。含治疗过程中的以辐射探测技术实测患者接受的吸收剂量。
全身照射剂量测量和数据处理,,240100009S,疗程,2405.6,262,,E,含根据患者的病况及医生制定的治疗方案，进行个体化的全身照射剂量测量和数据处理。
适形调强治疗剂量验证,,240100010S,次,2032.8,263,,E,指通过验证模体、剂量胶片、二维探测器阵列等对患者放疗计划进行一个平面治疗剂量验证。含剂量测量及处理过程。
适形调强治疗剂量验证加收(每增加一个平面),,240100010S-1,每平面,406.56,264,,E,
2.模拟定位,,2402,,,265,,E,含拍片。
简易定位,,240200001,疗程,52,266,,E,指使用非专用定位机之定位；含X线机、B超或CT等。
简易定位加收 (疗程中修改定位),,240200001-1,疗程,26,267,,E,
简易定位加收 (疗程中定位验证),,240200001-2,疗程,26,268,,E,
专用X线机模拟定位,,240200002,疗程,112.00 ,269,,E,
专用X线机模拟定位加收(疗程中修改定位),,240200002-1,疗程,58,270,,E,
专用X线机模拟定位加收(疗程中定位验证),,240200002-2,疗程,58,271,,E,
专用X线机复杂模拟定位,,240200003,疗程,341.6,272,MRI、CT、PET等影像扫描除外。,E,指非共面4野以上之定位。
专用X线机复杂模拟定位加收(疗程中修改定位),,240200003-1/1,疗程,170.8,273,,E,
专用X线机复杂模拟定位加收(疗程中定位验证),,240200003-1/2,疗程,170.8,274,,E,
CT机复杂模拟定位,,240200003-2,疗程,341.6,275,MRI、CT、PET等影像扫描除外。,E,
CT机复杂模拟定位加收(疗程中定位验证),,240200003-2/1,疗程,170.8,276,,E,
CT机复杂模拟定位加收(疗程中修改定位),,240200003-2/2,疗程,170.8,277,,E,
3.外照射治疗,  ,2403,,,278,,E,
外照射治疗加收(使用心电门控设备),,240300000-1,次,80,279,,E,
外照射治疗加收(使用呼吸门控设备),,240300000-2,次,80,280,,E,
深部X线照射,,240300001,每照射野,27.6,281,,E,
60钴外照射(固定照射),,240300002,每照射野,24,282,,E,
60钴外照射(特殊照射),,240300003,每照射野,44,283,,E,
60钴外照射(特殊照射)(加30°楔形板),,240300003-1,每照射野,56,284,,E,
60钴外照射(特殊照射)(加45°楔形板),,240300003-2,每照射野,72,285,,E,
60钴外照射(特殊照射)(加60°楔形板),,240300003-3,每照射野,88,286,,E,
直线加速器放疗(固定照射),,240300004,每照射野,60,287,,E,
直线加速器放疗(特殊照射),,240300005,"每照
射野",72,288,,E,
直线加速器放疗(特殊照射)(加30°楔形板),,240300005-1,"每照
射野",91.2,289,,E,
直线加速器放疗(特殊照射)(加45°楔形板),,240300005-2,"每照
射野",121.6,290,,E,
直线加速器放疗(特殊照射)(加60°楔形板),,240300005-3,"每照
射野",144,291,,E,
直线加速器适形治疗,,240300006,"每照
射野",136.8,292,每次剂量200（含）cGy以下的，4-9野按实际野数计算，超过9野及旋转动态照射按9野计算。,E,指多野（4野及以上）放疗或旋转动态照射；含多叶准直器（MLC）不规则射野放疗。
直线加速器适形治疗加收(剂量200cGy以上）,,240300006-1,"2cGy,每照射野",1.368,293,以剂量200cGy/次为基准，每次剂量超过200cGy的，不足2cGy的，按2cGy计价，加收最高不超过200cGy。,E,
螺旋断层放疗系统实施螺旋动态治疗,,240300006-2,次,2888,294,,E,
X刀治疗,,240300007,疗程,4560,295,,E,
X刀治疗(第2次起),,240300007-1,疗程,2280,296,,E,
伽玛刀治疗(不超过5个聚焦扇区),,240300008,次,4712,297,"1.每个旋转源按1个聚焦扇区计价；
2.体刀治疗从第二次开始每次治疗按50%计价；
3.未获得大型医用设备配置许可证的，不得收费。",E,指肿瘤和血管疾病的治疗，含CT、MRI定位，含特定计算机治疗计划系统，含体架、头架，含5个聚焦扇区。
伽玛刀治疗加收(超过5个聚焦扇区),,240300008-1,每聚焦扇区,240,298,"1.每个旋转源按1个聚焦扇区计价；
2.加收不超过30个聚焦扇区。",E,
不规则野大面积照射,,240300009,每照射野,360,299,,E,
半身照射,,240300010,每照射野,760,300,,E,指60钴 、加速器等照射，含治疗计划、模拟定位、治疗、模具等。
全身60钴照射,,240300011,疗程,1200,301,,E,含治疗计划、模拟定位、治疗、模具等。
全身X线照射,,240300012,疗程,3200,302,,E,指用于骨髓移植，含治疗计划、模拟定位、治疗、模具等。
全身X线照射(第2次起),,240300012-1,疗程,1600,303,,E,
全身电子线照射,,240300013,每照射野,478.4,304,,E,指用于皮肤恶性淋巴瘤治疗，含治疗计划、模拟定位、治疗、模具等。
术中放疗,,240300014,次,2280,305,,E,含铅档制作、个体化照射野筒制作、监控，含治疗计划、模拟定位、治疗、模具等。
适形调强放射治疗(IMRT),,240300015,次,380,306,,E,不含适形治疗照射。
快中子外照射,,240300016,次,暂不定价,307,,E,含治疗计划、模拟定位、治疗、模具等。
60钴适形治疗,体位固定装置和适形射野挡块制作及外置多叶准直器,240300017S,每照射野,80,308,,E,指按适形照射临床要求进行摆位和体位固定、以多个外置的适形挡块或多叶准直器形成适形照射野，进行三维多野（4野及以上）适形照射。不含CT影像扫描、三维治疗计划设计。
浅表部位后装治疗,,240400001,次,271.2,309,,E,
腔内后装放疗,,240400002,次,400,310,,E,
组织间插置放疗,,240400003,次,480,311,,E,
手术置管放疗,,240400004,次,400,312,,E,
皮肤贴敷后装放疗,,240400005,次,360,313,,E,
血管内后装放疗,,240400006,次,暂不定价,314,,E,
快中子后装治疗(中子刀),,240400007,次,暂不定价,315,,E,
合金模具设计及制作,,240500001,次,,316,,E,
合金模具设计及制作-电子束制模,,240500001-1,次,228,317,,E,
合金模具设计及制作-适形制模,,240500001-2,次,380,318,,E,
填充模具设计及制作,,240500002,次,80,319,,E,
补偿物设计及制作,,240500003,次,,320,,E,
"补偿物设计及制作-厚度0.5cm,边长≥15cm",,240500003-1,次,400,321,,E,
"补偿物设计及制作-厚度0.5cm,边长≤15cm",,240500003-2,次,200,322,,E,
"补偿物设计及制作-厚度1cm,边长≥15 cm",,240500003-3,次,440,323,,E,
"补偿物设计及制作-厚度1cm,边长≤15cm",,240500003-4,次,200,324,,E,
"补偿物设计及制作-厚度1.5cm,边长≥15cm",,240500003-5,次,480,325,,E,
"补偿物设计及制作-厚度1.5cm,边长≤15cm",,240500003-6,次,240,326,,E,
"补偿物设计及制作-厚度2cm,边长≥15 cm",,240500003-7,次,520,327,,E,
"补偿物设计及制作-厚度2cm,边长≤15cm",,240500003-8,次,256,328,,E,
面模设计及制作,,240500004,,,329,,E,
面模设计及制作-头颈,,240500004-1,次,380,330,,E,
面模设计及制作-躯干,,240500004-2,次,608,331,,E,
体架,,240500005,,,332,,E,
头架设计及制作,,240500005-1,次,44,333,,E,
体架设计及制作,,240500005-2,次,380,334,,E,
低氧放疗耐力测定,,240600001,次,暂不定价,335,,E,
7.其他,,2407,,,336,,E,
深部热疗,,240700001,次,240,337,,E,指超声或电磁波等热疗。
深部热疗加收(内生场热疗),,240700001-1,次,400,338,,E,
高强度超声聚焦刀治疗,,240700002,次,1600,339,同一病灶按实际治疗次数计收，超过5次的，最高按5次计收。,E,指使用焦域声强5000W/cm2以下高强度超声聚焦设备对实体性肿瘤的疗程损毁性消融治疗:含术中超声监控。
高强度聚焦超声热消融肿瘤刀治疗,,240700002-1,次,8000,340,同一病灶治疗按一次计收,E,指使用焦域声强5000W/cm2及以上高强度超声聚焦设备对实体性肿瘤的一次损毁性消融治疗:含术中超声监控。
体表肿瘤电化学治疗,,240700003,次,暂不定价,341,,E,
光动力治疗,,240700004S,,,342,,E,
恶性肿瘤光动力治疗,,240700004S-1,次,2441.6,343,,E,含光敏剂、激光源。
良性病变光动力治疗,,240700004S-2,次,239.20 ,344,体被肿物3个肿物以内（含3个）为一次。,E,含激光源。
良性病变光动力治疗加收(超过3个肿物),,240700004S-2/1,每个肿物,38.40 ,345,,E,
血红蛋白测定(Hb),,250101001,项,0.8,346,,H,
血红蛋白测定(Hb)-手工法,,250101001-1,项,2.4,347,,H,
血红蛋白测定(Hb)-床旁快速检测,,250101001-2,项,17.6,348,,H,
红细胞计数(RBC),,250101002,项,1.6,349,,H,
红细胞计数(RBC)-手工法,,250101002-1,项,2.4,350,,H,
红细胞比积测定(HCT),,250101003,项,1.6,351,,H,
红细胞比积测定(HCT)-手工法,,250101003-1,项,2.4,352,,H,
网织红细胞计数(Ret),,250101005,项,,353,,H,
网织红细胞计数(Ret)-镜检法,,250101005-1,项,2.40 ,354,,H,
网织红细胞计数(Ret)-仪器法,,250101005-2,项,8,355,,H,
网织红细胞计数(Ret)-流式细胞仪法,,250101005-3,项,16.00 ,356,,H,
嗜碱性点彩红细胞计数,,250101006,项,2.4,357,,H,
异常红细胞形态检查,,250101007,项,1.44,358,,H,
红细胞沉降率测定(ESR),,250101008,项,3.6,359,,H,
红细胞沉降率测定(ESR)-手工法,,250101008-1,项,4,360,,H,
白细胞计数(WBC),,250101009,项,1.6,361,,H,
白细胞计数(WBC)-手工法,,250101009-1,项,4.8,362,,H,
白细胞分类计数(DC),,250101010,项,1.6,363,,H,
白细胞分类计数(DC)-手工法,,250101010-1,项,4.8,364,,H,
嗜酸性粒细胞直接计数,,250101011,项,1.6,365,,H,
嗜碱性粒细胞直接计数,,250101011-1,项,1.6,366,,H,
淋巴细胞直接计数,,250101011-2,项,1.6,367,,H,
单核细胞直接计数,,250101011-3,项,1.6,368,,H,
异常白细胞形态检查,,250101012,项,8,369,,H,
浓缩血恶性组织细胞检查,,250101013,项,4.8,370,,H,
血小板计数,,250101014,项,1.6,371,,H,
血小板计数-手工法,,250101014-1,项,6.4,372,,H,
血常规,,250101015,,,373,,H,含全血细胞计数。
血常规-三分类,,250101015-1,次,11.2,374,,H,含全血细胞计数。
血常规-五分类,,250101015-2,次,14.4,375,,H,含全血细胞计数。
出血时间测定(BT),,250101016,项,0.8,376,,H,
出血时间测定-测定器法,,250101017,项,22.4,377,,H,指测定器法。
凝血时间测定(CT)-测定器法,,250101018,项,11.2,378,,H,指测定器法。
红斑狼疮细胞检查(LEC),,250101019,项,4.8,379,,H,
血浆渗量试验,,250101020,项,4.8,380,,H,
有核红细胞计数,,250101021,项,15.2,381,,H,
异常血小板形态检查,,250101022,项,7.2,382,,H,
尿常规检查,,250102001,次,2.4,383,,H,指手工操作；含外观、酸碱度、蛋白定性、镜检。
尿酸碱度测定,,250102002,项,0.4,384,,H,
尿比重测定,,250102003,项,0.48,385,,H,
尿渗透压检查,,250102004,项,4.56 ,386,,H,
床边尿渗透压快速检测,,250102004-1/1,次,9.6,387,,H,
血清渗透压检查,,250102004-2,项,4.8,388,,H,
床边血清渗透压快速检测,,250102004-2/1,次,9.6,389,,H,
尿蛋白定性,,250102005,项,0.48,390,,H,
尿蛋白定量,,250102006,项,,391,,H,
尿蛋白定量-手工比色法,,250102006-1,项,4.8,392,,H,
尿蛋白定量-各种化学法,,250102006-2,项,8,393,,H,
尿蛋白定量-免疫比浊法,,250102006-3,项,14.4,394,,H,
尿本-周氏蛋白定性检查,,250102007,项,,395,,H,
尿本-周氏蛋白定性检查-热沉淀法,,250102007-1,项,1.6,396,,H,
尿本-周氏蛋白定性检查-免疫电泳法,,250102007-2,项,8,397,,H,
尿肌红蛋白定性检查,,250102008,项,9.2,398,,H,
尿血红蛋白定性检查,,250102009,项,0.8,399,,H,
尿糖定性试验,,250102010,项,0.8,400,,H,
尿糖定量测定,,250102011,项,4,401,,H,
尿酮体定性试验,,250102012,项,0.8,402,,H,
尿三胆检查,,250102013,项,2.4,403,,H,
尿二胆检查,,250102013-1,项,2.4,404,,H,
尿含铁血黄素定性试验,,250102014,项,3.2,405,,H,
尿三氯化铁试验,,250102015,项,4.8,406,,H,
尿乳糜定性检查,,250102016,项,3.2,407,,H,
尿卟啉定性试验,,250102017,项,5.6,408,,H,
尿黑色素测定,,250102018,项,0.8,409,,H,
尿浓缩稀释试验,,250102019,项,4.8,410,,H,
尿酚红排泄试验(PSP),,250102020,项,4.8,411,,H,
尿妊娠试验,,250102021,项,,412,,H,
尿妊娠试验-乳胶凝集法,,250102021-1,项,1.6,413,,H,
尿妊娠试验-酶免法,,250102021-2,项,3.6,414,,H,
尿妊娠试验-金标法,,250102021-3,项,5.04,415,,H,
卵泡刺激素(LH)排卵预测,,250102022,项,8,416,,H,
尿沉渣镜检,,250102023,项,0.8,417,,H,
尿沉渣定量,,250102024,,,418,,H,
尿沉渣定量-手工法,,250102024-1,项,0.8,419,,H,
尿沉渣定量-尿沉渣分析仪,,250102024-2,次,16,420,,H,
尿液爱迪氏计数(Addis),,250102025,项,4.8,421,,H,
尿三杯试验,,250102026,项,7.20 ,422,,H,
一小时尿沉渣计数,,250102027,项,16.8,423,,H,
一小时尿细胞排泄率,,250102028,项,4.8,424,,H,
尿沉渣白细胞分类,,250102029,项,暂不定价,425,,H,
尿十二小时E/C值测定,,250102030,项,暂不定价,426,,H,
尿中病毒感染细胞检查,,250102031,项,暂不定价,427,,H,
尿中包涵体检查,,250102032,项,1.6,428,,H,
尿酸化功能测定,,250102033,项,暂不定价,429,,H,
尿红细胞位相,,250102034,项,8.8,430,,H,
尿液分析,,250102035,次,5.76,431,,H,指仪器法，8－11项 。
24小时尿胱氨酸测定,,250102036,项,11.2,432,,H,
尿卟啉定量测定,,250102037,项,26.4,433,,H,
